Tanggal,Suhu Maks (C),Suhu Min (C),Suhu Rata-rata (C),Curah Hujan (mm),Kecepatan Angin Maks (km/h)
2000-02-05,28.9,22.4,24.8,24.1,7.6
2000-02-06,29.9,21.4,25.1,1.8,8.2
2000-02-07,28.2,22.6,24.4,24.5,8.7
2000-02-08,25.8,22.7,23.7,24.6,5.8
2000-02-09,27.8,22.3,23.8,14.3,9.4
2000-02-10,28.7,22.0,24.7,11.6,11.5
2000-02-11,28.4,22.2,24.5,4.8,10.8
2000-02-12,29.1,22.5,24.9,16.3,9.3
2000-02-13,30.2,22.3,25.3,18.7,6.8
2000-02-14,29.4,22.7,24.9,7.6,9.9
2000-02-15,29.2,22.3,25.0,10.4,11.9
2000-02-16,29.7,23.0,25.6,6.5,9.7
2000-02-17,29.3,23.1,25.5,10.8,10.1
2000-02-18,28.3,23.1,24.8,20.1,9.8
2000-02-19,28.8,22.5,24.4,4.6,11.7
2000-02-20,27.9,22.0,24.2,32.9,10.3
2000-02-21,28.2,22.5,24.8,0.9,10.1
2000-02-22,30.0,22.2,25.5,17.0,6.4
2000-02-23,29.7,22.1,24.9,33.7,5.9
2000-02-24,28.8,22.2,24.8,7.4,6.1
2000-02-25,28.2,22.1,24.6,11.9,8.1
2000-02-26,28.0,22.2,24.0,17.9,10.0
2000-02-27,29.8,22.5,25.6,3.1,6.4
2000-02-28,29.0,22.6,25.4,0.1,13.2
2000-02-29,28.7,23.2,25.2,11.4,8.2
2000-03-01,28.6,22.6,25.2,5.5,10.2
2000-03-02,28.3,22.7,25.3,0.5,11.3
2000-03-03,26.8,22.6,24.3,15.5,9.7
2000-03-04,27.7,22.4,24.2,16.1,11.6
2000-03-05,28.5,22.2,24.4,21.6,8.7
2000-03-06,29.4,22.0,24.7,10.7,8.9
2000-03-07,29.0,22.6,24.9,8.3,7.1
2000-03-08,28.8,22.6,24.8,14.5,9.3
2000-03-09,27.7,22.1,24.2,21.9,9.9
2000-03-10,29.3,22.3,24.8,8.2,5.6
2000-03-11,29.7,21.3,25.3,4.4,6.6
2000-03-12,29.5,22.7,25.0,24.7,4.6
2000-03-13,27.7,22.5,24.2,19.4,6.8
2000-03-14,29.8,22.2,24.8,5.9,7.3
2000-03-15,27.3,23.0,24.8,1.8,11.6
2000-03-16,30.4,22.3,25.4,3.9,9.0
2000-03-17,29.7,22.2,25.0,13.5,8.4
2000-03-18,29.9,22.3,25.3,12.2,5.7
2000-03-19,29.4,22.6,25.4,14.7,9.0
2000-03-20,29.1,23.1,25.0,12.3,5.8
2000-03-21,28.8,22.8,24.9,23.4,6.4
2000-03-22,29.8,22.5,24.9,10.6,10.2
2000-03-23,29.5,22.3,24.6,25.0,6.6
2000-03-24,28.7,22.1,24.6,9.3,9.6
2000-03-25,28.7,21.6,24.3,16.0,6.8
2000-03-26,29.9,22.4,24.9,19.4,9.6
2000-03-27,28.9,22.7,24.8,20.4,9.5
2000-03-28,29.5,22.3,25.1,5.2,6.4
2000-03-29,28.7,22.7,25.0,6.8,8.3
2000-03-30,30.3,22.4,25.2,16.1,8.2
2000-03-31,29.6,22.8,25.1,20.3,7.9
2000-04-01,29.2,23.0,25.1,7.0,7.4
2000-04-02,29.8,22.0,25.2,13.8,6.1
2000-04-03,30.4,22.5,25.4,7.9,6.5
2000-04-04,30.0,22.3,25.3,11.4,7.9
2000-04-05,29.9,22.3,25.1,6.2,8.8
2000-04-06,28.1,23.3,24.8,28.5,6.8
2000-04-07,29.0,22.5,24.7,20.4,4.9
2000-04-08,29.3,22.5,24.8,17.5,5.5
2000-04-09,27.8,23.2,24.6,13.5,7.8
2000-04-10,29.2,22.4,25.0,11.6,7.6
2000-04-11,29.6,23.0,25.2,11.1,7.9
2000-04-12,29.5,22.9,25.1,5.9,10.2
2000-04-13,29.3,22.8,25.0,13.4,6.2
2000-04-14,29.8,22.4,24.9,16.1,5.8
2000-04-15,28.3,22.4,24.7,9.8,6.6
2000-04-16,28.7,22.2,24.8,13.9,7.5
2000-04-17,28.9,22.8,24.9,18.7,6.1
2000-04-18,30.2,22.5,25.6,3.7,6.2
2000-04-19,30.4,22.2,25.6,9.3,8.7
2000-04-20,28.6,23.0,25.0,9.2,8.6
2000-04-21,28.4,23.2,25.1,10.6,6.8
2000-04-22,28.1,23.0,24.8,14.5,5.1
2000-04-23,29.8,22.5,25.3,11.5,6.0
2000-04-24,27.4,22.6,24.6,7.7,9.4
2000-04-25,29.6,22.6,25.3,10.2,7.2
2000-04-26,29.0,22.9,25.0,10.3,5.1
2000-04-27,29.5,23.6,25.6,4.7,8.8
2000-04-28,29.6,22.6,25.5,1.6,8.3
2000-04-29,30.4,22.0,25.3,0.0,10.8
2000-04-30,29.6,21.4,24.9,8.4,8.2
2000-05-01,29.0,22.7,25.0,4.5,8.9
2000-05-02,25.6,22.7,23.8,9.9,5.9
2000-05-03,26.9,22.2,23.9,13.7,8.7
2000-05-04,29.2,21.5,24.8,4.9,5.6
2000-05-05,28.8,21.9,25.0,2.5,6.1
2000-05-06,29.0,21.3,25.0,1.3,9.0
2000-05-07,29.5,21.4,25.0,1.0,9.1
2000-05-08,29.7,21.3,25.2,0.0,7.2
2000-05-09,29.6,21.4,25.3,0.6,8.2
2000-05-10,29.9,22.3,25.6,1.4,8.5
2000-05-11,29.7,22.9,25.7,0.0,12.2
2000-05-12,29.2,23.0,25.5,1.6,13.1
2000-05-13,29.5,23.3,25.6,0.8,13.4
2000-05-14,29.6,23.4,25.4,5.2,10.2
2000-05-15,29.3,22.7,25.1,11.5,7.1
2000-05-16,30.1,22.5,25.5,2.6,8.9
2000-05-17,30.1,22.5,25.8,3.5,9.0
2000-05-18,30.1,22.6,25.5,4.5,8.1
2000-05-19,30.5,22.9,25.5,14.8,8.4
2000-05-20,29.6,22.8,24.9,25.7,5.1
2000-05-21,29.9,22.3,25.8,2.0,5.6
2000-05-22,29.0,22.9,25.5,6.6,9.6
2000-05-23,29.2,22.9,25.0,4.9,10.2
2000-05-24,30.1,22.5,25.6,6.4,8.4
2000-05-25,29.7,22.5,25.7,1.0,7.4
2000-05-26,29.5,22.5,25.2,1.5,6.7
2000-05-27,29.9,22.0,25.6,1.0,9.2
2000-05-28,29.7,22.0,25.2,2.0,9.8
2000-05-29,30.2,22.9,25.8,1.2,7.0
2000-05-30,29.7,22.9,25.7,0.4,10.1
2000-05-31,29.8,22.2,25.4,0.0,10.3
2000-06-01,28.9,20.8,24.8,0.0,9.8
2000-06-02,29.6,22.4,25.2,3.0,6.5
2000-06-03,28.4,22.9,24.7,6.9,7.7
2000-06-04,28.8,22.6,24.8,6.2,5.9
2000-06-05,29.5,22.9,25.2,3.7,5.7
2000-06-06,29.3,23.0,25.3,4.4,7.6
2000-06-07,29.6,22.7,25.5,0.0,8.7
2000-06-08,29.9,21.4,25.0,0.0,9.3
2000-06-09,29.7,21.5,25.3,0.0,10.0
2000-06-10,30.2,22.8,25.8,0.0,5.8
2000-06-11,29.9,23.0,26.0,0.0,8.7
2000-06-12,30.1,21.8,25.8,0.0,8.0
2000-06-13,29.3,21.3,24.9,0.3,11.3
2000-06-14,29.4,20.5,24.6,0.0,9.0
2000-06-15,28.9,20.7,24.1,0.0,12.9
2000-06-16,29.7,20.4,24.9,0.0,10.2
2000-06-17,28.2,22.6,24.6,4.8,7.6
2000-06-18,29.6,22.0,25.0,10.2,7.7
2000-06-19,28.9,21.8,24.5,2.2,6.0
2000-06-20,28.6,22.2,24.6,5.6,8.0
2000-06-21,29.0,21.5,24.6,7.1,7.9
2000-06-22,29.6,21.9,25.2,0.9,7.8
2000-06-23,30.1,21.9,25.6,0.2,9.2
2000-06-24,29.4,21.2,24.9,0.0,10.3
2000-06-25,29.6,20.9,24.7,0.0,10.6
2000-06-26,28.9,21.1,24.5,0.0,13.4
2000-06-27,29.7,19.4,24.2,0.1,11.1
2000-06-28,28.5,21.3,24.6,0.4,12.6
2000-06-29,29.1,21.2,24.6,0.8,11.6
2000-06-30,29.9,20.9,25.1,0.0,9.8
2000-07-01,30.3,20.7,25.1,0.0,7.1
2000-07-02,30.6,20.2,25.0,0.0,6.4
2000-07-03,31.2,22.4,26.3,0.0,8.0
2000-07-04,30.5,21.6,26.2,0.1,8.2
2000-07-05,31.3,22.8,26.6,0.0,9.0
2000-07-06,31.4,22.6,26.7,0.0,10.1
2000-07-07,31.3,22.4,26.5,0.2,8.4
2000-07-08,31.4,22.9,26.6,0.0,9.3
2000-07-09,31.1,21.1,25.3,0.0,9.7
2000-07-10,31.0,20.4,25.3,0.0,8.4
2000-07-11,30.8,20.5,25.3,0.0,10.8
2000-07-12,31.6,20.1,26.0,0.0,8.7
2000-07-13,31.1,21.5,26.4,0.0,9.2
2000-07-14,31.2,21.8,25.7,0.0,15.8
2000-07-15,30.7,19.0,24.7,0.0,11.4
2000-07-16,31.5,19.4,25.6,0.0,7.6
2000-07-17,31.0,21.3,26.0,0.3,7.9
2000-07-18,31.5,21.5,26.1,0.5,8.9
2000-07-19,31.2,22.2,26.4,0.3,10.2
2000-07-20,31.7,22.6,26.7,0.0,11.0
2000-07-21,30.7,21.6,25.7,0.0,11.4
2000-07-22,30.3,19.4,24.7,0.0,11.9
2000-07-23,30.4,20.0,25.0,0.0,12.4
2000-07-24,31.8,19.8,25.8,0.0,9.8
2000-07-25,31.7,21.0,26.0,0.0,11.9
2000-07-26,30.6,21.7,25.9,0.4,12.1
2000-07-27,31.4,21.3,26.1,0.7,10.1
2000-07-28,31.1,22.6,25.9,4.4,10.3
2000-07-29,31.0,22.6,25.8,6.2,9.2
2000-07-30,30.6,22.2,25.9,0.0,12.1
2000-07-31,30.4,22.1,25.6,0.0,12.6
2000-08-01,29.2,22.1,25.0,0.3,15.8
2000-08-02,29.8,22.4,25.4,0.4,15.0
2000-08-03,30.1,22.1,25.4,1.3,13.6
2000-08-04,31.3,20.6,25.8,0.0,10.2
2000-08-05,31.8,20.4,25.9,0.0,8.0
2000-08-06,31.9,21.1,26.0,0.0,8.6
2000-08-07,31.5,22.4,25.8,0.7,12.2
2000-08-08,31.0,22.2,25.8,0.0,12.2
2000-08-09,31.0,22.0,25.5,0.0,13.7
2000-08-10,30.5,21.6,25.2,0.0,14.9
2000-08-11,30.5,21.5,25.3,0.0,12.7
2000-08-12,30.7,21.1,25.5,0.0,12.1
2000-08-13,31.6,20.2,25.5,0.0,13.0
2000-08-14,32.0,20.8,26.1,0.0,10.0
2000-08-15,31.1,21.2,25.6,0.0,13.4
2000-08-16,30.7,21.0,25.3,0.0,13.0
2000-08-17,31.3,20.9,25.3,0.0,13.0
2000-08-18,31.6,20.7,25.9,0.0,8.9
2000-08-19,30.9,21.0,25.7,0.0,11.2
2000-08-20,32.3,19.8,25.9,0.0,12.1
2000-08-21,31.8,20.3,25.5,0.0,13.8
2000-08-22,31.4,19.7,24.9,0.0,14.6
2000-08-23,32.1,19.2,25.6,0.0,8.9
2000-08-24,33.3,20.3,27.0,0.0,6.3
2000-08-25,34.0,21.6,27.9,0.0,7.4
2000-08-26,31.9,23.7,27.2,5.3,7.4
2000-08-27,32.7,23.8,26.9,5.2,7.4
2000-08-28,31.2,23.5,26.7,0.8,9.4
2000-08-29,30.5,23.2,26.3,1.5,10.4
2000-08-30,30.2,23.0,26.2,1.3,8.2
2000-08-31,31.9,22.5,26.7,2.1,9.3
2000-09-01,32.4,23.0,27.4,0.0,10.2
2000-09-02,33.3,23.0,27.8,0.0,6.9
2000-09-03,33.5,23.1,28.2,0.1,8.9
2000-09-04,33.6,23.9,27.8,0.3,10.6
2000-09-05,33.5,23.3,27.4,0.1,11.5
2000-09-06,32.5,23.2,27.2,0.0,12.7
2000-09-07,32.8,22.5,26.7,0.2,14.2
2000-09-08,32.8,22.5,26.7,0.0,16.4
2000-09-09,32.8,21.8,26.5,0.0,14.0
2000-09-10,33.4,21.4,26.4,0.0,14.0
2000-09-11,32.6,20.7,26.2,0.4,12.8
2000-09-12,33.5,22.6,27.5,0.0,11.1
2000-09-13,33.4,23.7,27.3,6.9,11.0
2000-09-14,32.4,22.9,26.7,0.0,15.8
2000-09-15,31.9,21.5,25.9,0.2,13.7
2000-09-16,32.2,22.8,26.5,0.4,13.7
2000-09-17,33.3,22.8,27.3,0.5,12.8
2000-09-18,33.7,23.9,28.1,0.1,11.1
2000-09-19,32.2,24.0,27.9,0.0,8.4
2000-09-20,31.5,24.1,27.5,0.0,8.3
2000-09-21,31.7,23.6,27.3,0.0,10.4
2000-09-22,33.4,23.8,27.9,0.3,9.8
2000-09-23,33.3,23.6,27.3,7.6,11.0
2000-09-24,32.9,23.9,27.2,2.9,10.9
2000-09-25,32.8,23.4,27.2,2.6,12.1
2000-09-26,31.9,23.3,26.9,3.5,10.6
2000-09-27,32.2,23.4,27.1,0.5,10.1
2000-09-28,32.4,23.1,27.2,0.0,13.7
2000-09-29,32.4,23.0,27.3,0.6,10.8
2000-09-30,32.2,23.5,27.5,0.2,12.2
2000-10-01,34.3,23.2,28.3,0.0,9.6
2000-10-02,33.0,23.9,28.1,0.0,12.9
2000-10-03,32.0,24.0,27.3,4.7,9.4
2000-10-04,31.8,24.1,26.7,8.0,9.7
2000-10-05,30.2,23.6,25.9,2.2,8.6
2000-10-06,31.8,23.5,26.7,2.8,11.3
2000-10-07,32.0,23.3,27.0,1.0,13.2
2000-10-08,31.6,23.1,26.6,0.7,11.9
2000-10-09,32.0,22.4,27.0,0.0,12.8
2000-10-10,32.5,23.3,27.7,0.0,8.7
2000-10-11,32.0,24.0,26.8,10.5,8.4
2000-10-12,32.1,24.1,26.5,14.2,11.3
2000-10-13,31.9,23.2,26.5,6.4,10.0
2000-10-14,32.3,23.7,26.6,7.0,8.0
2000-10-15,31.1,23.8,26.0,15.6,7.3
2000-10-16,31.1,23.1,25.7,18.7,6.1
2000-10-17,29.5,23.6,25.7,17.2,8.6
2000-10-18,29.3,23.5,25.7,5.1,11.7
2000-10-19,28.1,23.7,25.2,7.9,11.4
2000-10-20,29.1,23.2,25.7,4.0,12.3
2000-10-21,29.5,23.4,25.7,14.8,9.4
2000-10-22,30.7,23.0,26.3,0.0,11.9
2000-10-23,29.9,21.8,25.3,9.6,10.2
2000-10-24,30.0,22.7,25.6,5.5,7.4
2000-10-25,29.8,23.0,25.3,20.0,6.7
2000-10-26,29.1,23.2,25.1,35.7,6.1
2000-10-27,29.3,22.8,25.4,21.7,7.8
2000-10-28,27.9,23.3,24.8,48.4,6.6
2000-10-29,29.5,23.2,25.7,8.6,5.2
2000-10-30,29.8,23.0,25.8,1.3,9.1
2000-10-31,29.9,23.1,26.0,2.7,4.8
2000-11-01,29.8,23.4,25.8,11.8,5.7
2000-11-02,30.2,23.5,25.9,5.8,6.9
2000-11-03,29.3,23.2,25.2,16.1,10.6
2000-11-04,28.6,22.9,25.1,13.3,9.0
2000-11-05,28.7,23.0,25.7,7.3,9.0
2000-11-06,29.9,23.5,25.9,4.4,7.1
2000-11-07,30.7,23.8,26.3,1.9,4.7
2000-11-08,30.6,23.3,26.0,7.0,6.2
2000-11-09,30.1,23.7,26.0,8.0,6.9
2000-11-10,30.0,23.4,25.9,11.9,4.6
2000-11-11,29.4,23.5,25.5,16.5,6.8
2000-11-12,30.6,22.7,25.7,8.6,9.7
2000-11-13,30.2,23.3,25.8,13.4,6.3
2000-11-14,30.4,23.3,25.7,19.8,6.9
2000-11-15,30.3,23.3,25.7,13.3,6.5
2000-11-16,29.7,23.2,25.4,18.0,8.3
2000-11-17,30.7,22.9,25.9,16.4,10.1
2000-11-18,30.5,23.6,25.9,5.0,9.8
2000-11-19,29.5,23.4,25.5,16.3,9.4
2000-11-20,27.0,23.3,24.9,18.7,7.6
2000-11-21,29.2,22.6,25.1,9.3,5.7
2000-11-22,29.4,22.7,25.7,1.4,6.8
2000-11-23,31.3,23.3,26.3,3.1,11.1
2000-11-24,29.5,23.8,25.5,9.6,6.6
2000-11-25,28.0,23.3,25.0,8.2,9.8
2000-11-26,26.0,22.7,23.9,11.8,11.0
2000-11-27,26.4,22.7,23.8,13.1,11.4
2000-11-28,29.1,22.6,24.6,18.8,10.6
2000-11-29,29.8,23.0,25.9,10.1,8.6
2000-11-30,28.1,22.8,25.0,12.8,7.0
2000-12-01,30.4,22.9,26.0,5.2,10.7
2000-12-02,29.7,22.1,25.7,0.0,15.1
2000-12-03,29.8,20.9,24.9,0.0,14.4
2000-12-04,29.8,20.7,24.8,0.0,11.0
2000-12-05,30.5,19.4,24.8,0.0,10.1
2000-12-06,30.9,20.0,25.3,0.0,7.7
2000-12-07,30.8,19.3,25.4,0.0,9.4
2000-12-08,31.7,21.5,26.4,0.1,8.2
2000-12-09,31.8,21.3,26.7,0.0,6.4
2000-12-10,30.1,23.8,26.1,10.4,6.2
2000-12-11,30.4,23.3,25.7,29.2,4.6
2000-12-12,28.6,23.2,25.3,19.7,5.8
2000-12-13,28.3,23.1,25.0,17.8,6.3
2000-12-14,29.6,22.8,25.3,15.3,7.3
2000-12-15,29.3,23.2,25.3,8.3,6.9
2000-12-16,29.7,23.0,25.3,13.6,9.8
2000-12-17,29.8,22.1,25.2,25.6,7.3
2000-12-18,29.1,22.6,25.3,13.8,7.9
2000-12-19,29.9,23.0,26.2,1.6,7.3
2000-12-20,29.8,22.1,25.9,1.5,5.8
2000-12-21,29.8,22.7,26.1,0.7,5.4
2000-12-22,29.7,22.6,25.9,11.1,6.2
2000-12-23,29.9,22.6,26.1,0.5,9.0
2000-12-24,30.6,21.6,25.8,1.3,11.3
2000-12-25,30.3,22.7,26.1,0.0,7.3
2000-12-26,31.0,22.9,26.4,0.0,11.2
2000-12-27,30.4,22.6,25.8,0.9,10.1
2000-12-28,30.2,23.5,26.2,1.1,11.7
2000-12-29,30.9,23.1,26.2,1.9,10.4
2000-12-30,30.8,23.7,26.8,0.1,9.2
2000-12-31,31.1,21.4,26.2,0.0,9.2
2001-01-01,30.1,21.9,25.5,4.0,6.8
2001-01-02,30.3,22.8,25.6,2.2,8.7
2001-01-03,29.5,23.0,25.4,10.6,8.4
2001-01-04,30.1,23.2,25.5,17.2,4.3
2001-01-05,29.0,22.9,24.8,9.5,9.4
2001-01-06,28.8,22.5,24.8,44.3,6.1
2001-01-07,28.2,22.5,24.7,37.1,5.0
2001-01-08,28.7,22.4,24.6,25.0,5.4
2001-01-09,26.5,22.4,23.8,33.4,5.1
2001-01-10,28.1,22.2,24.3,3.7,7.0
2001-01-11,25.3,22.5,23.7,16.6,6.4
2001-01-12,26.2,21.9,23.8,11.7,6.0
2001-01-13,28.9,21.5,24.4,15.4,7.9
2001-01-14,29.2,22.5,25.5,3.0,7.2
2001-01-15,28.7,22.7,25.1,4.3,6.3
2001-01-16,27.4,22.3,24.6,7.5,8.3
2001-01-17,27.7,22.6,24.8,10.8,6.0
2001-01-18,28.3,22.6,24.7,16.8,5.0
2001-01-19,29.1,22.2,25.0,9.6,6.3
2001-01-20,28.8,22.6,24.6,19.6,8.3
2001-01-21,28.7,22.3,24.7,41.5,5.6
2001-01-22,28.9,22.5,24.9,20.5,8.7
2001-01-23,27.5,22.8,24.4,16.9,7.1
2001-01-24,29.7,22.0,25.2,11.6,7.9
2001-01-25,29.5,22.7,25.2,5.5,8.7
2001-01-26,30.3,22.5,25.3,11.9,7.6
2001-01-27,30.0,22.6,25.6,16.0,6.9
2001-01-28,30.7,22.6,25.8,19.8,5.0
2001-01-29,29.9,22.8,25.4,18.9,5.2
2001-01-30,29.3,22.8,25.3,13.1,6.3
2001-01-31,28.4,23.3,25.2,6.8,6.8
2001-02-01,28.9,23.0,24.6,15.6,7.9
2001-02-02,28.7,22.6,24.8,18.1,9.4
2001-02-03,27.2,23.1,24.6,22.8,6.8
2001-02-04,27.7,22.1,24.3,7.9,8.4
2001-02-05,27.8,22.2,24.3,5.9,7.4
2001-02-06,28.2,22.9,24.8,6.6,8.7
2001-02-07,27.3,23.0,24.5,15.3,5.4
2001-02-08,27.0,22.5,24.2,22.9,8.1
2001-02-09,28.3,22.2,24.9,5.1,10.4
2001-02-10,28.0,22.7,24.5,10.6,12.3
2001-02-11,27.5,22.2,24.0,11.2,17.5
2001-02-12,28.5,22.0,24.6,0.7,14.4
2001-02-13,29.1,22.7,24.8,6.3,15.0
2001-02-14,29.6,22.7,25.2,1.0,11.0
2001-02-15,30.0,22.2,25.2,4.5,9.5
2001-02-16,30.1,22.6,25.5,2.2,9.0
2001-02-17,29.0,22.2,25.2,1.2,8.2
2001-02-18,28.5,22.8,24.8,9.6,6.9
2001-02-19,29.2,22.3,25.2,2.0,8.2
2001-02-20,29.1,22.4,25.1,3.0,7.1
2001-02-21,29.9,21.3,25.6,0.0,7.3
2001-02-22,29.8,21.2,25.9,1.4,6.7
2001-02-23,29.8,22.2,26.2,0.3,6.8
2001-02-24,29.2,22.9,25.2,35.6,5.8
2001-02-25,28.6,22.9,24.6,36.2,5.4
2001-02-26,30.0,22.2,25.0,24.7,5.9
2001-02-27,30.4,21.8,25.4,28.0,6.5
2001-02-28,28.4,23.3,25.0,31.6,5.5
2001-03-01,29.5,22.4,25.3,17.4,6.5
2001-03-02,30.0,22.6,25.2,13.6,5.7
2001-03-03,29.9,23.2,25.4,6.7,8.9
2001-03-04,30.7,23.1,25.9,0.6,8.9
2001-03-05,30.0,22.8,25.4,6.1,6.6
2001-03-06,30.4,22.8,25.4,29.3,5.1
2001-03-07,29.6,23.0,25.3,17.4,4.7
2001-03-08,29.5,22.6,24.9,20.4,5.1
2001-03-09,28.6,22.9,25.0,4.1,8.2
2001-03-10,28.6,22.8,24.5,28.1,10.0
2001-03-11,29.8,22.2,24.9,47.8,5.8
2001-03-12,28.9,22.9,24.9,14.0,8.5
2001-03-13,30.6,21.7,25.6,2.1,8.7
2001-03-14,30.2,21.8,25.7,2.5,6.6
2001-03-15,30.0,23.1,25.4,17.0,5.2
2001-03-16,28.7,22.1,24.8,8.0,7.2
2001-03-17,30.0,22.3,25.3,12.3,7.6
2001-03-18,29.5,23.1,25.3,8.9,10.3
2001-03-19,29.8,22.6,25.0,27.9,5.2
2001-03-20,29.6,22.9,25.1,11.1,11.7
2001-03-21,30.2,22.3,25.9,3.3,8.7
2001-03-22,30.7,23.0,26.0,5.4,7.6
2001-03-23,30.0,23.3,25.6,25.8,6.5
2001-03-24,28.3,22.8,24.7,21.8,6.3
2001-03-25,28.7,22.4,24.7,15.0,6.0
2001-03-26,29.7,22.2,25.1,8.0,5.6
2001-03-27,29.5,21.8,24.9,13.5,6.2
2001-03-28,28.7,22.6,24.7,29.4,6.4
2001-03-29,29.3,22.0,24.6,5.7,10.3
2001-03-30,28.9,22.8,24.8,6.0,10.6
2001-03-31,30.1,22.4,24.9,19.7,8.0
2001-04-01,29.1,22.4,24.9,17.1,6.2
2001-04-02,29.7,22.2,25.1,7.6,7.7
2001-04-03,28.6,22.9,25.1,8.4,7.7
2001-04-04,29.0,22.5,24.7,15.2,8.0
2001-04-05,29.5,21.9,25.1,8.6,6.8
2001-04-06,30.6,22.7,25.6,15.5,5.8
2001-04-07,30.1,23.2,25.7,10.5,6.4
2001-04-08,28.6,22.8,25.2,10.5,6.0
2001-04-09,30.3,22.5,25.5,3.9,9.0
2001-04-10,28.6,23.0,25.1,15.8,4.9
2001-04-11,30.7,22.7,25.7,6.8,6.6
2001-04-12,30.0,22.6,25.8,2.8,8.1
2001-04-13,28.6,22.9,24.6,14.3,6.2
2001-04-14,29.0,22.4,24.8,15.9,8.6
2001-04-15,28.5,22.7,24.4,4.7,8.0
2001-04-16,29.1,22.4,24.8,13.9,5.8
2001-04-17,28.0,22.7,25.0,3.8,6.3
2001-04-18,29.8,22.4,25.6,0.5,8.1
2001-04-19,29.8,20.4,24.9,0.5,8.7
2001-04-20,28.9,20.3,24.8,0.2,5.8
2001-04-21,30.4,21.0,25.6,0.0,5.9
2001-04-22,30.7,21.5,25.9,0.5,6.1
2001-04-23,30.8,21.9,26.1,2.0,6.1
2001-04-24,30.2,23.3,25.9,4.9,8.0
2001-04-25,30.0,22.9,25.7,10.6,6.2
2001-04-26,30.5,23.2,26.4,1.3,6.9
2001-04-27,30.4,22.2,26.0,0.0,7.6
2001-04-28,30.6,20.6,25.6,0.0,7.1
2001-04-29,30.8,20.4,25.4,0.0,6.5
2001-04-30,30.5,23.1,26.3,1.5,6.9
2001-05-01,30.7,23.0,25.9,5.9,5.3
2001-05-02,30.0,23.4,25.6,4.4,4.7
2001-05-03,29.4,23.0,25.6,1.8,5.2
2001-05-04,30.4,22.9,26.7,0.1,7.0
2001-05-05,30.9,22.7,26.7,0.0,9.4
2001-05-06,30.9,22.2,26.2,0.0,7.4
2001-05-07,30.7,21.6,26.1,0.2,6.8
2001-05-08,31.1,22.5,26.4,0.0,6.5
2001-05-09,30.9,21.5,26.2,0.3,8.0
2001-05-10,30.7,21.9,25.8,0.0,8.5
2001-05-11,29.6,20.2,24.7,0.0,8.8
2001-05-12,30.4,18.5,24.5,0.0,8.2
2001-05-13,30.8,20.0,25.4,0.0,8.2
2001-05-14,30.5,21.1,25.7,0.0,6.4
2001-05-15,30.6,22.3,26.0,0.8,10.5
2001-05-16,31.6,22.4,26.7,0.0,7.0
2001-05-17,31.4,22.1,26.6,0.5,6.5
2001-05-18,30.9,21.8,26.0,1.5,12.2
2001-05-19,30.4,22.4,25.6,17.0,4.8
2001-05-20,30.8,22.9,26.0,4.6,7.2
2001-05-21,30.2,23.1,26.4,0.0,6.8
2001-05-22,30.8,22.6,26.3,0.0,8.2
2001-05-23,31.0,21.7,26.0,0.0,7.6
2001-05-24,30.7,21.6,26.1,0.0,7.4
2001-05-25,30.8,22.0,26.3,0.2,9.7
2001-05-26,31.8,21.2,26.3,0.0,6.2
2001-05-27,30.9,22.1,26.3,0.7,6.1
